n_panels,battery_capacity_kwh,autoconsommation,autoproduction,composite_criterion,total_local_consumption_kWh,total_consumption_kWh,total_production_kWh,initial_soe_kWh,final_soe_kWh
0,0,100,0,50.00000,0,386,0,0,0
0,5,100,0,50.00000,0,386,0,3,0
0,10,100,0,50.00000,0,386,0,5,0
0,15,100,0,50.00000,0,386,0,8,0
0,20,100,0,50.00000,0,386,0,10,0
0,25,100,0,50.00000,0,386,0,13,0
0,30,100,0,50.00000,0,386,0,15,0
0,35,100,0,50.00000,0,386,0,18,0
0,40,100,0,50.00000,0,386,0,20,0
0,45,100,0,50.00000,0,386,0,23,0
0,50,100,0,50.00000,0,386,0,25,0
0,55,100,0,50.00000,0,386,0,28,0
0,60,100,0,50.00000,0,386,0,30,0
0,65,100,0,50.00000,0,386,0,33,0
0,70,100,0,50.00000,0,386,0,35,0
0,75,100,0,50.00000,0,386,0,38,0
0,80,100,0,50.00000,0,386,0,40,0
0,85,100,0,50.00000,0,386,0,43,0
0,90,100,0,50.00000,0,386,0,45,0
0,95,100,0,50.00000,0,386,0,48,0
0,100,100,0,50.00000,0,386,0,50,0
1,0,100,2,51.11798,9,386,9,0,0
1,5,100,2,51.11798,9,386,9,3,0
1,10,100,2,51.11798,9,386,9,5,0
1,15,100,2,51.11798,9,386,9,8,0
1,20,100,2,51.11798,9,386,9,10,0
1,25,100,2,51.11798,9,386,9,13,0
1,30,100,2,51.11798,9,386,9,15,0
1,35,100,2,51.11798,9,386,9,18,0
1,40,100,2,51.11798,9,386,9,20,0
1,45,100,2,51.11798,9,386,9,23,0
1,50,100,2,51.11798,9,386,9,25,0
1,55,100,2,51.11798,9,386,9,28,0
1,60,100,2,51.11798,9,386,9,30,0
1,65,100,2,51.11798,9,386,9,33,0
1,70,100,2,51.11798,9,386,9,35,0
1,75,100,2,51.11798,9,386,9,38,0
1,80,100,2,51.11798,9,386,9,40,0
1,85,100,2,51.11798,9,386,9,43,0
1,90,100,2,51.11798,9,386,9,45,0
1,95,100,2,51.11798,9,386,9,48,0
1,100,100,2,51.11798,9,386,9,50,0
2,0,100,4,52.23596,17,386,17,0,0
2,5,100,4,52.23596,17,386,17,3,0
2,10,100,4,52.23596,17,386,17,5,0
2,15,100,4,52.23596,17,386,17,8,0
2,20,100,4,52.23596,17,386,17,10,0
2,25,100,4,52.23596,17,386,17,13,0
2,30,100,4,52.23596,17,386,17,15,0
2,35,100,4,52.23596,17,386,17,18,0
2,40,100,4,52.23596,17,386,17,20,0
2,45,100,4,52.23596,17,386,17,23,0
2,50,100,4,52.23596,17,386,17,25,0
2,55,100,4,52.23596,17,386,17,28,0
2,60,100,4,52.23596,17,386,17,30,0
2,65,100,4,52.23596,17,386,17,33,0
2,70,100,4,52.23596,17,386,17,35,0
2,75,100,4,52.23596,17,386,17,38,0
2,80,100,4,52.23596,17,386,17,40,0
2,85,100,4,52.23596,17,386,17,43,0
2,90,100,4,52.23596,17,386,17,45,0
2,95,100,4,52.23596,17,386,17,48,0
2,100,100,4,52.23596,17,386,17,50,0
3,0,100,7,53.35393,26,386,26,0,0
3,5,100,7,53.35393,26,386,26,3,0
3,10,100,7,53.35393,26,386,26,5,0
3,15,100,7,53.35393,26,386,26,8,0
3,20,100,7,53.35393,26,386,26,10,0
3,25,100,7,53.35393,26,386,26,13,0
3,30,100,7,53.35393,26,386,26,15,0
3,35,100,7,53.35393,26,386,26,18,0
3,40,100,7,53.35393,26,386,26,20,0
3,45,100,7,53.35393,26,386,26,23,0
3,50,100,7,53.35393,26,386,26,25,0
3,55,100,7,53.35393,26,386,26,28,0
3,60,100,7,53.35393,26,386,26,30,0
3,65,100,7,53.35393,26,386,26,33,0
3,70,100,7,53.35393,26,386,26,35,0
3,75,100,7,53.35393,26,386,26,38,0
3,80,100,7,53.35393,26,386,26,40,0
3,85,100,7,53.35393,26,386,26,43,0
3,90,100,7,53.35393,26,386,26,45,0
3,95,100,7,53.35393,26,386,26,48,0
3,100,100,7,53.35393,26,386,26,50,0
4,0,100,9,54.47191,35,386,35,0,0
4,5,100,9,54.47191,35,386,35,3,0
4,10,100,9,54.47191,35,386,35,5,0
4,15,100,9,54.47191,35,386,35,8,0
4,20,100,9,54.47191,35,386,35,10,0
4,25,100,9,54.47191,35,386,35,13,0
4,30,100,9,54.47191,35,386,35,15,0
4,35,100,9,54.47191,35,386,35,18,0
4,40,100,9,54.47191,35,386,35,20,0
4,45,100,9,54.47191,35,386,35,23,0
4,50,100,9,54.47191,35,386,35,25,0
4,55,100,9,54.47191,35,386,35,28,0
4,60,100,9,54.47191,35,386,35,30,0
4,65,100,9,54.47191,35,386,35,33,0
4,70,100,9,54.47191,35,386,35,35,0
4,75,100,9,54.47191,35,386,35,38,0
4,80,100,9,54.47191,35,386,35,40,0
4,85,100,9,54.47191,35,386,35,43,0
4,90,100,9,54.47191,35,386,35,45,0
4,95,100,9,54.47191,35,386,35,48,0
4,100,100,9,54.47191,35,386,35,50,0
5,0,100,11,55.58989,43,386,43,0,0
5,5,100,11,55.58989,43,386,43,3,0
5,10,100,11,55.58989,43,386,43,5,0
5,15,100,11,55.58989,43,386,43,8,0
5,20,100,11,55.58989,43,386,43,10,0
5,25,100,11,55.58989,43,386,43,13,0
5,30,100,11,55.58989,43,386,43,15,0
5,35,100,11,55.58989,43,386,43,18,0
5,40,100,11,55.58989,43,386,43,20,0
5,45,100,11,55.58989,43,386,43,23,0
5,50,100,11,55.58989,43,386,43,25,0
5,55,100,11,55.58989,43,386,43,28,0
5,60,100,11,55.58989,43,386,43,30,0
5,65,100,11,55.58989,43,386,43,33,0
